/home/shenshiyu/SmartTrafficFramework/dataloader.py:130: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.indices = torch.tensor(self.indices.clone().detach(),dtype=torch.int64)
Train epoch      1/100   |  Loss: 2.83221364  |  Acc: 24.13%   |  Acc_inner: 31.98%   |  LR: 0.00099975  | Load data time: 0.35...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.44   m  |  Backward time: 1.15   m  |  Total time: 2.03   m
Train epoch      2/100   |  Loss: 1.50309432  |  Acc: 45.34%   |  Acc_inner: 60.08%   |  LR: 0.00099901  | Load data time: 0.36...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.50   m  |  Backward time: 1.07   m  |  Total time: 2.02   m
Train epoch      3/100   |  Loss: 0.85958028  |  Acc: 57.48%   |  Acc_inner: 76.17%   |  LR: 0.00099778  | Load data time: 0.43...m  |  Preprocess data time: 0.11   m  |  Forward time: 0.52   m  |  Backward time: 1.15   m  |  Total time: 2.21   m
Train epoch      4/100   |  Loss: 0.66511989  |  Acc: 60.14%   |  Acc_inner: 79.70%   |  LR: 0.00099606  | Load data time: 0.37...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.48   m  |  Backward time: 1.07   m  |  Total time: 2.01   m
Train epoch      5/100   |  Loss: 0.53898299  |  Acc: 61.99%   |  Acc_inner: 82.15%   |  LR: 0.00099384  | Load data time: 0.36...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.03   m  |  Total time: 1.96   m
Train epoch      6/100   |  Loss: 0.45745906  |  Acc: 63.83%   |  Acc_inner: 84.59%   |  LR: 0.00099114  | Load data time: 0.36...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.05   m  |  Total time: 1.99   m
Train epoch      7/100   |  Loss: 0.38534731  |  Acc: 65.62%   |  Acc_inner: 86.97%   |  LR: 0.00098796  | Load data time: 0.37...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.49   m  |  Backward time: 1.06   m  |  Total time: 2.02   m
Train epoch      8/100   |  Loss: 0.33316576  |  Acc: 66.34%   |  Acc_inner: 87.92%   |  LR: 0.00098429  | Load data time: 0.34...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.07   m  |  Total time: 1.98   m
Train epoch      9/100   |  Loss: 0.32394013  |  Acc: 67.01%   |  Acc_inner: 88.80%   |  LR: 0.00098015  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 0.99   m  |  Total time: 1.90   m
Train epoch     10/100   |  Loss: 0.29914704  |  Acc: 67.93%   |  Acc_inner: 90.02%   |  LR: 0.00097553  | Load data time: 0.32...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.90   m  |  Total time: 1.77   m
Train epoch     11/100   |  Loss: 0.28761876  |  Acc: 68.24%   |  Acc_inner: 90.43%   |  LR: 0.00097044  | Load data time: 0.33...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 0.95   m  |  Total time: 1.85   m
Train epoch     12/100   |  Loss: 0.25995275  |  Acc: 68.70%   |  Acc_inner: 91.04%   |  LR: 0.00096489  | Load data time: 0.38...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.49   m  |  Backward time: 1.08   m  |  Total time: 2.05   m
Train epoch     13/100   |  Loss: 0.25381207  |  Acc: 68.80%   |  Acc_inner: 91.17%   |  LR: 0.00095888  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 0.95   m  |  Total time: 1.83   m
